Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Check addon visible color scheme;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Upload project icon;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check name project page navigation;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check restart action;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;"Create new project and enter name";"Dummy result"
"";new;"Repeatedly click on 'Next' button in fast pace.";"Dummy result"
new;Check addon builder conf;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Raise error visible addon has no icon;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Conf for cim mapping consistency;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;"Use add-on Builder to create a new TA";"Dummy result"
"";new;"Add a sourcetype ""sourcetype:eval"" to it, and upload some sample";"Dummy result"
"";new;"Add an eventtype based on the sourcetype";"Dummy result"
"";new;"In the CIM mapping part, do a MAP/EVAL action, example: Map AUTOID to Alerts.app";"Dummy result"
"";new;"Do a MAP/EVAL again, example: EVAL  dest_ip to Alerts.dest";"Dummy result"
new;Sourcetype list display;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;'*' tailing eventtype query trim;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Tags conf eventtype conf consistency;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Display performance;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Eval field validation;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Data model sub category support;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Add eventtype using spl query;2016-07-18;0;;"";0;NormalizeData;"";"";""
"";Step Id;Action;Result
"";new;"Use add-on Builder to create a new TA";"Dummy result"
"";new;"In step 3, add a sourcetype, add a KV_MODE = auto to it";"Dummy result"
"";new;"Upload a sample to the sourcetype,  can use 'sample.v4.mcafee_epo' from https://git.splunk.com/projects/SOLN/repos/ta-mcafee/browse/package/samples.";"Dummy result"
"";new;"Add an eventtype using that sourcetype.";"Dummy result"
